3091,2,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-21 02:01:36,2019-04-18,True
1739,3,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-05 18:29:37,2019-03-30,True
9453,2,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-27 00:56:08,2019-04-03,True
922,3,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-18 22:24:25,2019-04-13,True
679,1,{},2019-04-03 23:07:17,2019-04-24,True
7858,2,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-11 15:31:22,2019-04-24,True
1895,3,{},2019-04-08 13:26:29,2019-04-18,True
313,2,{},2019-04-19 05:23:35,2019-04-04,True
9827,2,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-07 21:55:44,2019-04-16,True
4732,3,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-11 05:32:56,2019-04-22,True
7360,1,{},2019-04-06 05:28:55,2019-04-14,True
9362,1,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-17 06:34:18,2019-04-23,True
2655,1,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-23 18:44:20,2019-04-15,True
7558,2,{},2019-04-08 16:43:59,2019-03-30,True
3209,1,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-10 18:48:40,2019-03-30,True
572,3,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-03 21:59:36,2019-04-12,True
9980,3,{},2019-04-13 18:58:42,2019-04-02,True
6455,2,{},2019-04-09 00:16:22,2019-03-29,True
9964,1,{},2019-04-09 14:43:23,2019-04-20,True
374,2,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-03-31 10:55:32,2019-03-31,True
9114,2,{},2019-04-18 23:36:52,2019-04-14,True
3073,1,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-07 17:52:43,2019-04-16,True
7159,3,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-03-29 20:14:13,2019-04-06,True
8227,1,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-22 01:34:12,2019-03-31,True
1917,3,{},2019-04-11 11:56:54,2019-03-31,True
5555,3,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-16 16:22:29,2019-04-01,True
5993,1,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-02 04:22:40,2019-04-07,True
9642,1,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-21 14:01:17,2019-03-29,True
6431,3,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-04 20:15:40,2019-04-13,True
8567,2,{},2019-04-20 09:19:29,2019-04-26,True
1983,3,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-11 13:28:55,2019-04-25,True
4100,3,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-16 02:34:28,2019-03-29,True
867,1,{},2019-04-19 23:13:11,2019-04-24,True
1710,1,{},2019-04-12 08:32:37,2019-04-16,True
8118,1,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-14 07:30:12,2019-04-04,True
5166,3,{},2019-04-10 11:51:43,2019-04-07,True
539,2,{},2019-04-13 17:23:09,2019-04-16,True
6553,3,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-01 18:49:43,2019-03-30,True
3928,2,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-26 03:29:17,2019-04-03,True
4279,1,{},2019-04-24 01:45:27,2019-04-09,True
6801,3,{},2019-04-16 19:17:44,2019-04-16,True
8394,2,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-04 00:40:17,2019-04-09,True
2595,3,{},2019-03-31 05:04:58,2019-04-02,True
1454,2,{},2019-04-06 18:21:10,2019-03-31,True
3653,1,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-16 15:30:49,2019-04-16,True
4998,3,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-10 06:48:34,2019-04-12,True
3857,1,{},2019-04-02 07:24:38,2019-04-07,True
3431,1,{},2019-04-24 01:57:58,2019-04-14,True
1636,1,{},2019-04-11 11:50:24,2019-04-02,True
3157,1,{},2019-03-29 23:05:21,2019-04-24,True
6326,3,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-16 14:11:31,2019-04-23,True
3480,2,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-17 09:19:17,2019-04-02,True
3315,1,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-16 05:28:48,2019-04-19,True
5291,1,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-03-30 19:23:19,2019-04-12,True
2322,2,{},2019-04-02 03:03:54,2019-04-15,True
9091,3,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-03 11:42:27,2019-04-18,True
4730,3,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-03-29 22:35:02,2019-04-10,True
74,2,{},2019-04-04 16:01:47,2019-04-02,True
9861,2,{},2019-04-28 11:21:24,2019-04-15,True
6987,1,{},2019-04-12 08:01:04,2019-04-06,True
7382,2,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-20 20:07:13,2019-04-25,True
1397,2,{},2019-04-06 09:58:19,2019-04-14,True
4271,3,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-06 00:00:41,2019-04-26,True
9993,3,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-06 22:18:23,2019-04-12,True
5041,3,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-03-31 22:35:18,2019-03-31,True
1079,1,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-22 01:47:21,2019-04-23,True
1709,2,{},2019-04-09 22:55:32,2019-04-13,True
935,2,{},2019-04-19 13:34:58,2019-04-14,True
310,3,{},2019-04-11 19:18:11,2019-04-09,True
1301,2,{},2019-03-31 12:52:54,2019-04-08,True
3636,3,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-23 11:12:46,2019-04-25,True
2804,1,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-10 21:07:48,2019-04-02,True
1998,2,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-10 06:39:49,2019-04-04,True
6301,3,{},2019-04-02 09:05:13,2019-04-14,True
8357,3,{},2019-04-04 02:17:16,2019-04-04,True
1676,3,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-08 09:57:15,2019-04-19,True
4157,3,{},2019-04-02 21:49:23,2019-04-22,True
9520,2,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-02 15:00:30,2019-04-15,True
1968,3,{},2019-04-25 02:55:20,2019-04-22,True
2031,1,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-04-23 16:10:17,2019-04-06,True
380,2,"{""can_grant"": ""yes"",""can_revoke"": ""yes""}",2019-03-30 21:50:01,2019-04-03,True
